Normalize,Type,Datetime,Na23(LR)_AVG,Na23(LR)_STD,Mg24(LR)_AVG,Mg24(LR)_STD,Al27(LR)_AVG,Al27(LR)_STD,Rh103(LR)_AVG,Rh103(LR)_STD,Na23(MR)_AVG,Na23(MR)_STD,Mg24(MR)_AVG,Mg24(MR)_STD,Al27(MR)_AVG,Al27(MR)_STD,K39(MR)_AVG,K39(MR)_STD,Fe56(MR)_AVG,Fe56(MR)_STD,Rh103(MR)_AVG,Rh103(MR)_STD
1,COLD,2022-01-03 20:03:53,115.3,15.4,37.5,3.6,92.4,1.2,29750.3,83.0,4.9,1.2,2.8,2.4,6.9,2.4,521.2,143.8,5.6,4.3,1786.8,32.1
1,COLD,2022-01-12 20:26:44,1029.1,140.1,136.1,28.3,461.9,37.3,28291.3,170.5,51.4,2.4,12.5,11.0,28.5,7.9,618.5,68.6,9.0,1.2,1779.8,58.9
1,COLD,2022-01-14 16:59:43,1194.5,130.3,202.1,16.5,233.3,14.4,29060.1,48.4,91.0,25.9,22.2,5.2,17.4,8.7,1231.6,188.7,47.9,18.0,1813.9,94.0
1,COLD,2022-01-17 19:37:44,113.9,3.2,50.0,7.5,172.2,19.4,30656.1,523.0,9.7,1.2,4.9,3.2,13.2,4.3,500.5,46.1,6.9,3.2,1901.5,111.9
1,COLD,2022-01-19 11:48:53,1435.0,104.4,222.2,20.2,284.0,11.5,27538.8,10.5,99.3,11.5,13.9,11.5,21.5,6.0,993.7,34.6,11.8,4.8,1732.6,71.8
1,COLD,2022-01-24 20:28:21,155.6,19.7,40.3,10.5,168.7,31.5,28214.3,246.6,5.6,3.1,2.1,2.1,7.6,4.3,523.0,61.2,6.9,3.2,1787.5,36.7
1,COLD,2022-01-27 10:46:22,97.9,22.5,38.2,3.2,313.2,35.7,25074.3,224.5,8.3,5.5,4.9,4.8,18.1,9.8,400.2,74.4,13.2,3.2,1706.2,39.4
1,COLD,2022-01-27 21:21:32,106.2,13.7,55.6,12.7,341.7,37.0,24716.6,469.1,9.7,3.2,0.7,1.2,18.7,7.5,374.2,73.9,44.4,10.7,1651.9,31.9
1,COLD,2022-02-07 11:01:16,246.5,31.3,254.9,4.3,529.9,44.5,44125.5,1119.9,24.3,5.2,20.8,0.0,37.5,11.0,832.8,202.9,9.0,1.2,3326.8,49.4
1,COLD,2022-02-07 21:44:11,579.4,48.5,216.7,34.4,507.1,39.7,41985.2,181.3,41.0,3.2,13.2,8.7,35.4,12.7,580.4,156.0,29.2,4.2,3068.1,142.5
1,COLD,2022-02-08 18:53:54,214.6,11.6,220.8,9.1,404.2,2.1,38150.9,625.1,15.3,2.4,13.9,1.2,25.0,5.5,1065.0,109.7,9.7,7.3,2913.9,89.8
1,COLD,2022-02-09 11:54:23,129.2,15.0,59.0,7.9,150.7,13.4,39003.6,885.7,4.9,2.4,4.2,2.1,9.2,3.1,1064.4,137.0,16.0,6.4,2920.1,67.4
