Normalize,Type,Datetime,Na23(LR)_AVG,Na23(LR)_STD,Mg24(LR)_AVG,Mg24(LR)_STD,Al27(LR)_AVG,Al27(LR)_STD,Rh103(LR)_AVG,Rh103(LR)_STD,Na23(MR)_AVG,Na23(MR)_STD,Mg24(MR)_AVG,Mg24(MR)_STD,Al27(MR)_AVG,Al27(MR)_STD,K39(MR)_AVG,K39(MR)_STD,Fe56(MR)_AVG,Fe56(MR)_STD,Rh103(MR)_AVG,Rh103(MR)_STD
500,COLD,2022-01-03 20:08:16,37945.5,505.1,21949.9,617.5,23309.5,68.8,29627.7,198.9,2521.7,83.8,1378.1,74.4,1436.4,62.3,3660.7,174.6,1470.5,26.1,1832.7,35.1
500,COLD,2022-01-12 20:33:10,36761.4,723.0,20291.5,217.6,21293.7,120.5,27758.1,524.4,2357.6,39.7,1254.3,62.3,1294.6,35.5,3416.7,149.4,1411.5,27.6,1743.7,59.5
500,COLD,2022-01-14 17:05:30,37930.2,3680.4,21296.0,2092.2,23375.0,2089.2,28530.9,752.1,2500.1,69.4,1328.0,78.7,1439.2,82.4,4223.7,47.0,1639.4,94.3,1693.0,25.3
500,COLD,2022-01-17 19:41:50,39852.7,417.5,22561.9,246.6,24910.5,459.7,30035.1,276.9,2497.4,38.8,1441.3,43.7,1500.4,123.9,3258.7,106.0,1566.5,13.9,1790.3,78.5
500,COLD,2022-01-19 11:53:21,39281.3,771.2,21125.3,774.6,23520.2,302.1,27057.7,84.4,2323.5,56.0,1375.3,62.6,1468.4,84.8,4186.0,45.2,1873.1,46.2,1663.1,48.0
500,COLD,2022-01-24 20:36:05,34643.8,1080.2,19817.5,655.8,22183.8,235.4,27258.3,145.8,2108.0,90.9,1300.8,65.8,1403.7,122.3,3555.0,43.3,1389.2,82.5,1747.2,146.4
500,COLD,2022-01-27 10:52:26,27181.6,1007.1,15443.5,227.3,17757.8,286.9,24313.5,1022.2,2181.0,161.4,1281.4,67.8,1273.8,18.5,3292.8,175.2,1355.9,89.9,1638.1,100.1
500,COLD,2022-01-27 21:30:55,24928.6,1110.7,14991.3,463.0,16406.5,529.2,24575.1,229.9,1994.7,161.7,1128.4,41.7,1147.3,25.1,2975.8,83.3,1303.0,47.2,1519.9,27.3
500,COLD,2022-02-07 11:08:00,43172.4,2138.8,24213.8,187.6,27931.5,72.5,39692.3,561.2,3170.4,213.8,1774.3,90.7,1941.2,48.5,4927.4,91.5,2015.5,90.5,2973.7,101.2
500,COLD,2022-02-07 21:48:39,39082.9,574.0,21434.1,323.6,25438.3,279.7,37862.0,738.0,2902.7,54.7,1645.0,51.2,1792.4,26.5,4973.7,125.3,1988.5,54.9,2734.4,32.3
