Normalize,Type,Datetime,Na23(LR)_AVG,Na23(LR)_STD,Mg24(LR)_AVG,Mg24(LR)_STD,Al27(LR)_AVG,Al27(LR)_STD,Rh103(LR)_AVG,Rh103(LR)_STD,Na23(MR)_AVG,Na23(MR)_STD,Mg24(MR)_AVG,Mg24(MR)_STD,Al27(MR)_AVG,Al27(MR)_STD,K39(MR)_AVG,K39(MR)_STD,Fe56(MR)_AVG,Fe56(MR)_STD,Rh103(MR)_AVG,Rh103(MR)_STD
1000,COLD,2022-01-03 20:11:00,77288.8,1923.5,42797.9,512.7,46813.1,973.0,30346.4,755.2,5016.5,161.6,2695.5,145.3,2959.7,43.4,7068.5,119.2,3050.8,137.4,1933.5,93.0
1000,COLD,2022-01-12 20:35:32,73196.1,333.3,39906.6,599.9,41697.9,303.6,29088.8,344.3,4490.8,92.4,2515.4,94.7,2484.8,37.2,6448.5,211.1,2707.3,77.1,1727.0,15.6
1000,COLD,2022-01-14 17:10:48,85060.5,38.5,47789.2,64.0,51165.5,428.0,30888.2,112.5,5086.0,81.9,3002.8,91.8,3011.8,130.4,7125.6,312.8,3280.9,136.1,1848.7,97.4
1000,COLD,2022-01-17 19:43:46,77298.8,1259.9,44268.8,857.4,49053.1,670.4,30405.4,258.9,4998.4,110.8,2898.5,148.7,3063.3,27.2,6416.3,327.4,3050.8,126.2,1902.9,18.9
1000,COLD,2022-01-19 11:55:32,79867.7,292.1,45171.4,703.4,48471.9,593.0,29252.2,102.8,4839.1,120.2,2793.5,50.8,2796.3,49.1,6799.8,318.0,2936.0,73.7,1682.5,94.4
1000,COLD,2022-01-24 20:38:20,70334.4,778.6,40391.0,399.3,44478.9,187.8,27893.2,184.1,4444.2,71.3,2557.1,70.8,2628.1,114.7,6551.8,163.3,2827.6,51.2,1727.0,103.3
1000,COLD,2022-01-27 10:56:39,52352.6,1394.8,30975.7,1427.6,33642.4,886.3,25299.8,706.2,4246.0,246.6,2426.4,127.6,2524.5,20.6,6280.1,352.1,2810.2,130.5,1680.4,147.3
1000,COLD,2022-01-27 21:33:59,50924.1,2528.7,30958.5,1290.6,32251.9,1084.6,23941.2,469.8,4173.0,187.8,2366.6,97.5,2501.5,130.2,5737.3,249.2,2658.7,151.5,1585.9,48.3
1000,COLD,2022-02-07 11:10:24,86524.2,1764.9,46474.7,1476.8,53939.3,643.8,40852.1,357.3,6366.2,193.8,3465.1,95.8,3840.0,67.8,9345.1,97.4,4043.0,124.1,3008.4,113.9
1000,COLD,2022-02-07 21:52:47,78576.1,850.3,42121.4,1168.8,50086.1,825.6,38867.6,183.2,5501.8,152.0,3089.7,148.1,3468.0,117.6,9007.8,318.9,3846.2,70.9,2959.7,98.5
1000,COLD,2022-02-08 19:07:43,73442.3,1977.7,41211.5,815.9,47720.2,2397.0,39527.9,610.6,5367.6,124.9,2989.6,154.2,3468.0,121.3,9301.2,93.0,3739.2,192.7,2868.6,120.1
1000,COLD,2022-02-09 12:00:16,74796.0,2437.6,42228.7,1132.7,50176.2,1755.7,40418.0,109.5,5554.0,158.0,3035.5,126.4,3522.2,142.2,8685.0,192.9,3909.5,122.1,2995.2,59.2
1000,COLD,2022-02-09 19:30:22,90735.9,7229.8,49737.4,2065.4,50660.0,122.6,24266.0,467.5,0.0,0.0,0.0,0.0,0.0,0.0,7436.7,400.7,2961.8,54.1,1731.9,133.2
1000,COLD,2022-02-11 15:02:31,101470.8,8057.4,53216.4,3054.7,55569.1,4315.6,26915.0,386.1,7480.3,84.8,4056.9,122.1,4063.8,127.5,9377.6,120.9,3582.0,161.7,1993.3,49.7
1000,COLD,2022-02-22 10:07:40,334038.3,4627.9,166551.1,1838.5,161889.6,1423.8,61388.3,330.7,22894.9,354.3,11428.4,153.5,11038.9,237.1,27040.0,447.2,8302.5,62.8,4401.8,119.5
1000,COLD,2022-03-01 21:09:18,282753.2,2202.1,147441.8,1581.2,146505.0,1393.8,64815.0,679.5,19110.3,325.4,10218.0,79.4,9860.6,271.5,21693.5,350.9,8000.0,224.3,4677.1,82.0
